,admin_2,admin_1,pixel,area,SoS,NRate
30,Buhera,Manicaland,"(31.2, -19.3)",1.0,306,0.0
31,Buhera,Manicaland,"(31.2, -19.2)",1.0,308,0.0
32,Buhera,Manicaland,"(31.3, -19.3)",1.0,306,0.0
33,Buhera,Manicaland,"(31.3, -19.2)",1.0,313,0.0
34,Buhera,Manicaland,"(31.3, -19.1)",1.0,309,0.0
35,Buhera,Manicaland,"(31.4, -19.4)",1.0,311,0.0
36,Buhera,Manicaland,"(31.4, -19.3)",1.0,310,0.0
37,Buhera,Manicaland,"(31.4, -19.2)",1.0,314,0.0
38,Buhera,Manicaland,"(31.4, -19.1)",1.0,308,0.0
39,Buhera,Manicaland,"(31.5, -19.4)",1.0,309,0.0
40,Buhera,Manicaland,"(31.5, -19.3)",1.0,315,0.0
41,Buhera,Manicaland,"(31.5, -19.2)",1.0,319,0.0
42,Buhera,Manicaland,"(31.5, -19.1)",1.0,310,0.0
43,Buhera,Manicaland,"(31.6, -19.5)",1.0,313,0.0
44,Buhera,Manicaland,"(31.6, -19.4)",1.0,314,0.0
45,Buhera,Manicaland,"(31.6, -19.3)",1.0,311,0.0
46,Buhera,Manicaland,"(31.6, -19.2)",1.0,315,0.0
47,Buhera,Manicaland,"(31.6, -19.1)",1.0,314,0.0
48,Buhera,Manicaland,"(31.6, -19.0)",1.0,316,0.0
49,Buhera,Manicaland,"(31.7, -19.6)",1.0,311,0.0
50,Buhera,Manicaland,"(31.7, -19.5)",1.0,314,0.0
51,Buhera,Manicaland,"(31.7, -19.4)",1.0,313,0.0
52,Buhera,Manicaland,"(31.7, -19.3)",1.0,314,0.0
53,Buhera,Manicaland,"(31.7, -19.2)",1.0,313,0.0
54,Buhera,Manicaland,"(31.7, -19.1)",1.0,311,0.0
55,Buhera,Manicaland,"(31.7, -19.0)",1.0,311,0.0
56,Buhera,Manicaland,"(31.8, -19.7)",1.0,308,0.0
57,Buhera,Manicaland,"(31.8, -19.6)",1.0,309,0.0
58,Buhera,Manicaland,"(31.8, -19.5)",1.0,314,0.0
59,Buhera,Manicaland,"(31.8, -19.4)",1.0,314,0.0
60,Buhera,Manicaland,"(31.8, -19.3)",1.0,311,0.0
61,Buhera,Manicaland,"(31.8, -19.2)",1.0,310,0.0
62,Buhera,Manicaland,"(31.8, -19.1)",1.0,311,0.0
63,Buhera,Manicaland,"(31.8, -19.0)",1.0,311,0.0
64,Buhera,Manicaland,"(31.9, -19.8)",1.0,310,0.0
65,Buhera,Manicaland,"(31.9, -19.7)",1.0,310,0.0
66,Buhera,Manicaland,"(31.9, -19.6)",1.0,313,0.0
67,Buhera,Manicaland,"(31.9, -19.5)",1.0,315,0.0
68,Buhera,Manicaland,"(31.9, -19.4)",1.0,313,0.0
69,Buhera,Manicaland,"(31.9, -19.3)",1.0,306,0.0
70,Buhera,Manicaland,"(31.9, -19.2)",1.0,309,0.0
71,Buhera,Manicaland,"(31.9, -19.1)",1.0,309,0.0
72,Buhera,Manicaland,"(32.0, -19.9)",1.0,309,0.0
73,Buhera,Manicaland,"(32.0, -19.8)",1.0,309,0.0
74,Buhera,Manicaland,"(32.0, -19.7)",1.0,313,0.0
75,Buhera,Manicaland,"(32.0, -19.6)",1.0,315,0.0
76,Buhera,Manicaland,"(32.0, -19.5)",1.0,314,0.0
77,Buhera,Manicaland,"(32.0, -19.4)",1.0,313,0.0
78,Buhera,Manicaland,"(32.0, -19.3)",1.0,313,0.0
79,Buhera,Manicaland,"(32.0, -19.2)",1.0,313,0.0
80,Buhera,Manicaland,"(32.0, -19.1)",1.0,314,0.0
81,Buhera,Manicaland,"(32.1, -19.9)",1.0,305,0.0
82,Buhera,Manicaland,"(32.1, -19.8)",1.0,310,0.0
83,Buhera,Manicaland,"(32.1, -19.7)",1.0,317,0.0
84,Buhera,Manicaland,"(32.1, -19.6)",1.0,314,0.0
85,Buhera,Manicaland,"(32.1, -19.5)",1.0,315,0.0
86,Buhera,Manicaland,"(32.1, -19.4)",1.0,314,0.0
87,Buhera,Manicaland,"(32.1, -19.3)",1.0,310,0.0
88,Buhera,Manicaland,"(32.2, -20.0)",1.0,303,0.0
89,Buhera,Manicaland,"(32.2, -19.9)",1.0,306,0.0
90,Buhera,Manicaland,"(32.2, -19.8)",1.0,310,0.0
91,Buhera,Manicaland,"(32.2, -19.7)",1.0,309,0.0
92,Buhera,Manicaland,"(32.2, -19.6)",1.0,305,0.0
93,Buhera,Manicaland,"(32.2, -19.5)",1.0,306,0.0
94,Buhera,Manicaland,"(32.2, -19.4)",1.0,311,0.0
95,Buhera,Manicaland,"(32.3, -20.0)",1.0,308,0.0
96,Buhera,Manicaland,"(32.3, -19.9)",1.0,311,0.0
97,Buhera,Manicaland,"(32.3, -19.8)",1.0,304,0.0
98,Buhera,Manicaland,"(32.3, -19.7)",1.0,295,0.0
99,Buhera,Manicaland,"(32.3, -19.6)",1.0,298,0.0
100,Buhera,Manicaland,"(32.4, -19.9)",1.0,306,0.0
101,Buhera,Manicaland,"(32.4, -19.8)",1.0,304,0.0
102,Buhera,Manicaland,"(32.4, -19.7)",1.0,298,0.0
