admin_2,cultivar,crps,ss,los,cultivar_type
Bulawayo,KY0013,174.84279999999998,-173.84279999999998,140.5,Long
Buhera,ZM0003,144.86826666666664,0.26710826306914004,100.0,Short
Buhera,KY0013,146.68860000000004,0.25789915682967934,131.0,Long
Buhera,990003,147.49366666666666,0.25382630691399666,89.0,Very short
Buhera,KY0003,148.51653333333334,0.2486516020236087,133.0,Long
Buhera,KY0009,157.4466666666667,0.20347386172006732,105.0,Short
Chimanimani,KY0013,330.6798656948495,0.2772024793555201,163.0,Long
Chimanimani,ZM0003,359.6131915509258,0.21396023704715672,112.0,Short
Chimanimani,KY0009,360.1018094907406,0.21289221969237027,120.0,Short
Chimanimani,KY0003,366.5432943773428,0.1988124713063545,167.0,Long
Chimanimani,KY0002,373.0248985422741,0.1846450305086904,139.0,Medium
Chipinge Rural,KY0003,206.16080000000002,0.45689989462592195,130.0,Long
Chipinge Rural,KY0013,219.37720000000007,0.4220832455216015,122.5,Long
Chipinge Rural,KY0001,252.08071999999999,0.33593066385669135,126.0,Long
Chipinge Rural,KY0002,255.17088000000004,0.3277900948366701,116.0,Medium
Chipinge Rural,KY0010,263.71903999999995,0.30527123287671254,121.0,Long
Makoni,990003,243.0065098625133,0.14391264769119616,102.0,Very short
Makoni,ZM0003,255.46782596868147,0.10001269160504755,116.0,Short
Makoni,ZM0002,256.36122345672493,0.09686534262854829,131.0,Medium
Makoni,KY0006,256.61738033491355,0.09596292785888527,104.0,Very short
Makoni,KY0009,262.6407530875773,0.07474319496072401,121.5,Short
Mutare Rural,KY0017,236.5232,0.37427724867724865,85.5,Very short
Mutare Rural,KY0006,236.7063222725214,0.3737927982208429,93.0,Very short
Mutare Rural,990003,240.92818985966494,0.36262383635009277,91.0,Very short
Mutare Rural,ZM0003,248.21470000000002,0.34334735449735443,101.0,Short
Mutare Rural,KY0015,262.9937908788005,0.3042492304793638,102.0,Short
Mutasa,KY0013,178.59120000000007,0.2690673942701225,159.5,Long
Mutasa,KY0001,185.91973333333337,0.2390733969986356,154.0,Long
Mutasa,KY0003,187.50686666666672,0.23257762619372424,162.0,Long
Mutasa,KY0010,196.44866666666667,0.19598090040927696,148.0,Long
Mutasa,KY0002,203.25186666666673,0.16813697135061367,142.0,Medium
Nyanga,KY0013,149.50422621152637,0.432775293506404,155.0,Long
Nyanga,KY0003,166.8792366301441,0.3668538447636809,154.0,Long
Nyanga,KY0002,181.19646522603838,0.312533736269773,140.0,Medium
Nyanga,KY0001,195.58186212251147,0.257954994657138,161.0,Long
Nyanga,KY0017,197.33418452508573,0.2513066169779945,100.0,Very short
Bindura Rural,KY0010,380.33435798972664,0.33912361774156974,136.0,Long
Bindura Rural,KY0002,430.2487280092594,0.25239143699520517,129.0,Medium
Bindura Rural,KY0001,460.1141941690964,0.200496621773942,142.0,Long
Bindura Rural,KY0004,466.63133333333326,0.18917231392991618,116.0,Short
Bindura Rural,KY0009,472.0880666666671,0.1796905878945837,116.0,Short
Guruve,KY0008,264.5029333333334,0.2783003183265119,116.0,Short
Guruve,KY0018,291.5909999999999,0.20439017735334275,109.5,Short
Guruve,KY0007,292.3072,0.20243601637107766,115.0,Short
Guruve,KY0014,300.20933333333346,0.18087494315597963,127.0,Medium
Guruve,ZM0002,302.70266666666686,0.17407185084129095,123.5,Medium
Mazowe,KY0010,279.35040000000004,0.4300909894593675,146.0,Long
Mazowe,KY0009,331.4431333333334,0.3238154369262155,124.0,Short
Mazowe,KY0002,344.64700000000016,0.2968779326759603,138.0,Medium
Mazowe,KY0001,407.35000000000014,0.1689561373682419,153.0,Long
Mazowe,KY0006,467.7862666666668,0.045658755525331274,103.0,Very short
Mbire,KY0013,143.38293090277776,-0.4655836208120385,121.0,Long
Mount Darwin,KY0010,155.69095352156296,0.36882045869636637,126.0,Long
Mount Darwin,KY0003,159.28838631188594,0.3542362717085705,134.0,Long
Mount Darwin,KY0002,165.3579393948645,0.32962997542622496,119.0,Medium
Mount Darwin,KY0001,166.84044487297226,0.3236198180825449,131.0,Long
Mount Darwin,KY0013,190.2261119520031,0.22881305965404153,130.0,Long
Muzarabani,KY0009,216.01053399551236,0.3295068784412446,110.0,Short
Muzarabani,KY0015,221.2318158599776,0.3133001059700644,106.0,Short
Muzarabani,KY0010,232.18580276388732,0.2792991119589633,131.0,Long
Muzarabani,KY0001,236.97007103911187,0.26444882243421053,133.0,Long
Muzarabani,KY0005,238.3379618884725,0.2602029118826513,133.0,Long
Rushinga,KY0013,240.5298695944591,-0.13101819558523076,123.0,Long
Shamva,KY0001,198.60460355843648,0.4192847849168524,135.0,Long
Shamva,KY0010,199.96013060382106,0.41532125554438293,130.0,Long
Shamva,KY0002,205.47562500000004,0.39919407894736836,123.0,Medium
Shamva,KY0003,218.79488163265316,0.3602488841150493,137.0,Long
Shamva,KY0009,326.09610607056754,0.04650261382874987,111.0,Short
Chikomba,KY0005,155.28306666666663,0.3363971509971512,152.0,Long
Chikomba,KY0010,160.49653333333336,0.3141173789173788,149.0,Long
Chikomba,KY0004,165.72306666666665,0.29178176638176645,123.0,Short
Chikomba,990003,166.92820000000003,0.2866316239316238,102.0,Very short
Chikomba,KY0015,168.12660000000008,0.28151025641025607,118.0,Short
Goromonzi,KY0001,362.93051428571454,0.2668070418470413,155.0,Long
Goromonzi,KY0002,396.06644424603195,0.19986576919993548,140.5,Medium
Goromonzi,KY0010,398.8519459325399,0.19423849306557606,149.0,Long
Goromonzi,KY0003,439.6432798611114,0.11183175785634059,160.0,Long
Hwedza,KY0005,171.21053333333336,0.07453765765765752,148.0,Long
Hwedza,ZM0001,179.02499999999998,0.03229729729729747,129.0,Medium
Hwedza,990001,183.1458000000001,0.010022702702702224,158.0,Long
