admin_1,admin_2,value,season_date,season_name,year
Bulawayo,Bulawayo,0.151676527,2015-04-30,Main,2015
Manicaland,Buhera,0.1664620525,2015-04-30,Main,2015
Manicaland,Buhera,0.4696106583,2014-04-30,Main,2014
Manicaland,Buhera,,2013-04-30,Main,2013
Manicaland,Buhera,,2012-04-30,Main,2012
Manicaland,Buhera,,2011-04-30,Main,2011
Manicaland,Chimanimani,0.5615529374,2015-04-30,Main,2015
Manicaland,Chimanimani,0.9296280165,2014-04-30,Main,2014
Manicaland,Chimanimani,,2013-04-30,Main,2013
Manicaland,Chimanimani,,2012-04-30,Main,2012
Manicaland,Chimanimani,,2011-04-30,Main,2011
Manicaland,Chipinge Rural,0.3874813678,2015-04-30,Main,2015
Manicaland,Chipinge Rural,0.9964404531,2014-04-30,Main,2014
Manicaland,Chipinge Rural,,2013-04-30,Main,2013
Manicaland,Chipinge Rural,,2012-04-30,Main,2012
Manicaland,Chipinge Rural,,2011-04-30,Main,2011
Manicaland,Makoni,0.4695306583,2015-04-30,Main,2015
Manicaland,Makoni,0.9401067638,2014-04-30,Main,2014
Manicaland,Makoni,,2013-04-30,Main,2013
Manicaland,Makoni,,2012-04-30,Main,2012
Manicaland,Makoni,,2011-04-30,Main,2011
Manicaland,Mutare Rural,0.3421878636,2015-04-30,Main,2015
Manicaland,Mutare Rural,,2014-04-30,Main,2014
Manicaland,Mutare Rural,,2013-04-30,Main,2013
Manicaland,Mutare Rural,,2012-04-30,Main,2012
Manicaland,Mutare Rural,,2011-04-30,Main,2011
Manicaland,Mutasa,0.6409628483,2015-04-30,Main,2015
Manicaland,Mutasa,0.8416641459,2014-04-30,Main,2014
Manicaland,Mutasa,,2013-04-30,Main,2013
Manicaland,Mutasa,,2012-04-30,Main,2012
Manicaland,Mutasa,,2011-04-30,Main,2011
Manicaland,Nyanga,0.5505243905,2015-04-30,Main,2015
Manicaland,Nyanga,0.8003256243,2014-04-30,Main,2014
Manicaland,Nyanga,,2013-04-30,Main,2013
Manicaland,Nyanga,,2012-04-30,Main,2012
Manicaland,Nyanga,,2011-04-30,Main,2011
Mashonaland Central,Bindura Rural,1.802108175,2015-04-30,Main,2015
Mashonaland Central,Bindura Rural,1.801259019,2014-04-30,Main,2014
Mashonaland Central,Bindura Rural,,2013-04-30,Main,2013
Mashonaland Central,Bindura Rural,,2012-04-30,Main,2012
Mashonaland Central,Bindura Rural,,2011-04-30,Main,2011
Mashonaland Central,Muzarabani,0.830467083,2015-04-30,Main,2015
Mashonaland Central,Muzarabani,0.8090863249,2014-04-30,Main,2014
Mashonaland Central,Muzarabani,,2013-04-30,Main,2013
Mashonaland Central,Muzarabani,,2012-04-30,Main,2012
Mashonaland Central,Muzarabani,,2011-04-30,Main,2011
Mashonaland Central,Guruve,0.8663154061,2015-04-30,Main,2015
Mashonaland Central,Guruve,1.070304545,2014-04-30,Main,2014
Mashonaland Central,Guruve,,2013-04-30,Main,2013
Mashonaland Central,Guruve,,2012-04-30,Main,2012
Mashonaland Central,Guruve,,2011-04-30,Main,2011
Mashonaland Central,Mazowe,1.748908411,2015-04-30,Main,2015
Mashonaland Central,Mazowe,2.293523012,2014-04-30,Main,2014
Mashonaland Central,Mazowe,,2013-04-30,Main,2013
Mashonaland Central,Mazowe,,2012-04-30,Main,2012
Mashonaland Central,Mazowe,,2011-04-30,Main,2011
Mashonaland Central,Mount Darwin,0.5000828881,2015-04-30,Main,2015
Mashonaland Central,Mount Darwin,0.7373095619,2014-04-30,Main,2014
Mashonaland Central,Mount Darwin,,2013-04-30,Main,2013
Mashonaland Central,Mount Darwin,,2012-04-30,Main,2012
Mashonaland Central,Mount Darwin,,2011-04-30,Main,2011
Mashonaland Central,Rushinga,0.5174821967,2015-04-30,Main,2015
Mashonaland Central,Rushinga,0.5271312822,2014-04-30,Main,2014
Mashonaland Central,Rushinga,,2013-04-30,Main,2013
Mashonaland Central,Rushinga,,2012-04-30,Main,2012
Mashonaland Central,Rushinga,,2011-04-30,Main,2011
Mashonaland Central,Shamva,0.9687848771,2015-04-30,Main,2015
Mashonaland Central,Shamva,1.02776199,2014-04-30,Main,2014
Mashonaland Central,Shamva,,2013-04-30,Main,2013
Mashonaland Central,Shamva,,2012-04-30,Main,2012
Mashonaland Central,Shamva,,2011-04-30,Main,2011
Mashonaland Central,Mbire,0.3969784786,2015-04-30,Main,2015
Mashonaland Central,Mbire,0.3824864586,2014-04-30,Main,2014
Mashonaland Central,Mbire,,2013-04-30,Main,2013
Mashonaland Central,Mbire,,2012-04-30,Main,2012
Mashonaland Central,Mbire,,2011-04-30,Main,2011
Mashonaland East,Chikomba,0.2574704021,2015-04-30,Main,2015
Mashonaland East,Chikomba,0.8974276428,2014-04-30,Main,2014
Mashonaland East,Chikomba,,2013-04-30,Main,2013
Mashonaland East,Chikomba,,2012-04-30,Main,2012
Mashonaland East,Chikomba,,2011-04-30,Main,2011
Mashonaland East,Goromonzi,1.248203313,2015-04-30,Main,2015
Mashonaland East,Goromonzi,1.195481248,2014-04-30,Main,2014
Mashonaland East,Goromonzi,,2013-04-30,Main,2013
Mashonaland East,Goromonzi,,2012-04-30,Main,2012
Mashonaland East,Goromonzi,,2011-04-30,Main,2011
Mashonaland East,Hwedza,0.3574100619,2015-04-30,Main,2015
Mashonaland East,Hwedza,0.9575496612,2014-04-30,Main,2014
Mashonaland East,Hwedza,,2013-04-30,Main,2013
Mashonaland East,Hwedza,,2012-04-30,Main,2012
Mashonaland East,Hwedza,,2011-04-30,Main,2011
Mashonaland East,Marondera Rural,0.6672399701,2015-04-30,Main,2015
Mashonaland East,Marondera Rural,1.024960117,2014-04-30,Main,2014
Mashonaland East,Marondera Rural,,2013-04-30,Main,2013
Mashonaland East,Marondera Rural,,2012-04-30,Main,2012
Mashonaland East,Marondera Rural,,2011-04-30,Main,2011
Mashonaland East,Mudzi,0.4167620719,2015-04-30,Main,2015
Mashonaland East,Mudzi,0.4189833067,2014-04-30,Main,2014
Mashonaland East,Mudzi,,2013-04-30,Main,2013
Mashonaland East,Mudzi,,2012-04-30,Main,2012
Mashonaland East,Mudzi,,2011-04-30,Main,2011
Mashonaland East,Murehwa,0.4112916507,2015-04-30,Main,2015
Mashonaland East,Murehwa,0.6987176777,2014-04-30,Main,2014
Mashonaland East,Murehwa,,2013-04-30,Main,2013
Mashonaland East,Murehwa,,2012-04-30,Main,2012
Mashonaland East,Murehwa,,2011-04-30,Main,2011
Mashonaland East,Mutoko,0.3484732696,2015-04-30,Main,2015
Mashonaland East,Mutoko,0.5421828689,2014-04-30,Main,2014
Mashonaland East,Mutoko,,2013-04-30,Main,2013
Mashonaland East,Mutoko,,2012-04-30,Main,2012
Mashonaland East,Mutoko,,2011-04-30,Main,2011
Mashonaland East,Seke,0.7387421722,2015-04-30,Main,2015
Mashonaland East,Seke,0.9924891928,2014-04-30,Main,2014
Mashonaland East,Seke,,2013-04-30,Main,2013
Mashonaland East,Seke,,2012-04-30,Main,2012
Mashonaland East,Seke,,2011-04-30,Main,2011
Mashonaland East,Uzumba Maramba Pfungwe,0.4435600556,2015-04-30,Main,2015
Mashonaland East,Uzumba Maramba Pfungwe,0.4442473811,2014-04-30,Main,2014
Mashonaland East,Uzumba Maramba Pfungwe,,2013-04-30,Main,2013
Mashonaland East,Uzumba Maramba Pfungwe,,2012-04-30,Main,2012
Mashonaland East,Uzumba Maramba Pfungwe,,2011-04-30,Main,2011
Mashonaland West,Chegutu Rural,0.4429439935,2015-04-30,Main,2015
Mashonaland West,Chegutu Rural,1.360639242,2014-04-30,Main,2014
Mashonaland West,Chegutu Rural,,2013-04-30,Main,2013
Mashonaland West,Chegutu Rural,,2012-04-30,Main,2012
Mashonaland West,Chegutu Rural,,2011-04-30,Main,2011
Mashonaland West,Hurungwe,1.285694895,2015-04-30,Main,2015
Mashonaland West,Hurungwe,0.9113401609,2014-04-30,Main,2014
Mashonaland West,Hurungwe,,2013-04-30,Main,2013
Mashonaland West,Hurungwe,,2012-04-30,Main,2012
Mashonaland West,Hurungwe,,2011-04-30,Main,2011
Mashonaland West,Kariba Rural,0.4236293321,2015-04-30,Main,2015
Mashonaland West,Kariba Rural,0.3405012281,2014-04-30,Main,2014
Mashonaland West,Kariba Rural,,2013-04-30,Main,2013
Mashonaland West,Kariba Rural,,2012-04-30,Main,2012
Mashonaland West,Kariba Rural,,2011-04-30,Main,2011
Mashonaland West,Makonde,1.338105691,2015-04-30,Main,2015
Mashonaland West,Makonde,1.687651675,2014-04-30,Main,2014
Mashonaland West,Makonde,,2013-04-30,Main,2013
Mashonaland West,Makonde,,2012-04-30,Main,2012
Mashonaland West,Makonde,,2011-04-30,Main,2011
Mashonaland West,Zvimba,1.131778658,2015-04-30,Main,2015
Mashonaland West,Zvimba,1.87912663,2014-04-30,Main,2014
Mashonaland West,Zvimba,,2013-04-30,Main,2013
Mashonaland West,Zvimba,,2012-04-30,Main,2012
Mashonaland West,Zvimba,,2011-04-30,Main,2011
Mashonaland West,Chinhoyi Urban,0.4725517241,2015-04-30,Main,2015
Mashonaland West,Mhondoro-Ngezi,0.2233602174323999,2015-04-30,Main,2015
Mashonaland West,Mhondoro-Ngezi,0.8868939051,2014-04-30,Main,2014
Mashonaland West,Mhondoro-Ngezi,,2013-04-30,Main,2013
Mashonaland West,Mhondoro-Ngezi,,2012-04-30,Main,2012
Mashonaland West,Mhondoro-Ngezi,,2011-04-30,Main,2011
Mashonaland West,Sanyati,0.4838708191,2015-04-30,Main,2015
Mashonaland West,Sanyati,1.047578962,2014-04-30,Main,2014
Mashonaland West,Sanyati,,2013-04-30,Main,2013
Mashonaland West,Sanyati,,2012-04-30,Main,2012
Mashonaland West,Sanyati,,2011-04-30,Main,2011
Matabeleland North,Binga,0.1818901931,2015-04-30,Main,2015
Matabeleland North,Binga,0.5013597544,2014-04-30,Main,2014
Matabeleland North,Binga,,2013-04-30,Main,2013
Matabeleland North,Binga,,2012-04-30,Main,2012
Matabeleland North,Binga,,2011-04-30,Main,2011
Matabeleland North,Bubi,0.2290334236,2015-04-30,Main,2015
Matabeleland North,Bubi,0.8456613588,2014-04-30,Main,2014
Matabeleland North,Bubi,,2013-04-30,Main,2013
Matabeleland North,Bubi,,2012-04-30,Main,2012
Matabeleland North,Bubi,,2011-04-30,Main,2011
Matabeleland North,Lupane,0.1129518036,2015-04-30,Main,2015
Matabeleland North,Lupane,0.3677358234,2014-04-30,Main,2014
Matabeleland North,Lupane,,2013-04-30,Main,2013
Matabeleland North,Lupane,,2012-04-30,Main,2012
Matabeleland North,Lupane,,2011-04-30,Main,2011
Matabeleland North,Nkayi,0.2168793628,2015-04-30,Main,2015
Matabeleland North,Nkayi,0.5064050781,2014-04-30,Main,2014
Matabeleland North,Nkayi,,2013-04-30,Main,2013
Matabeleland North,Nkayi,,2012-04-30,Main,2012
Matabeleland North,Nkayi,,2011-04-30,Main,2011
Matabeleland North,Tsholotsho,0.0995511988,2015-04-30,Main,2015
Matabeleland North,Tsholotsho,0.4065218059,2014-04-30,Main,2014
Matabeleland North,Tsholotsho,,2013-04-30,Main,2013
Matabeleland North,Tsholotsho,,2012-04-30,Main,2012
Matabeleland North,Tsholotsho,,2011-04-30,Main,2011
Matabeleland North,Umguza,0.2796278237,2015-04-30,Main,2015
Matabeleland North,Umguza,1.116667796,2014-04-30,Main,2014
Matabeleland North,Umguza,,2013-04-30,Main,2013
Matabeleland North,Umguza,,2012-04-30,Main,2012
Matabeleland North,Umguza,,2011-04-30,Main,2011
Matabeleland North,Hwange Rural,0.1259195806,2015-04-30,Main,2015
Matabeleland North,Hwange Rural,0.4521711375,2014-04-30,Main,2014
Matabeleland North,Hwange Rural,,2013-04-30,Main,2013
Matabeleland North,Hwange Rural,,2012-04-30,Main,2012
Matabeleland North,Hwange Rural,,2011-04-30,Main,2011
Matabeleland South,Beitbridge Rural,0.07390827173,2015-04-30,Main,2015
Matabeleland South,Beitbridge Rural,0.5951004817,2014-04-30,Main,2014
Matabeleland South,Beitbridge Rural,,2013-04-30,Main,2013
Matabeleland South,Beitbridge Rural,,2012-04-30,Main,2012
Matabeleland South,Beitbridge Rural,,2011-04-30,Main,2011
Matabeleland South,Bulilima,0.1373141451,2015-04-30,Main,2015
Matabeleland South,Bulilima,0.4683318191,2014-04-30,Main,2014
Matabeleland South,Bulilima,,2013-04-30,Main,2013
Matabeleland South,Bulilima,,2012-04-30,Main,2012
Matabeleland South,Bulilima,,2011-04-30,Main,2011
Matabeleland South,Mangwe,0.03768023097,2015-04-30,Main,2015
Matabeleland South,Mangwe,0.4269699193,2014-04-30,Main,2014
Matabeleland South,Mangwe,,2013-04-30,Main,2013
Matabeleland South,Mangwe,,2012-04-30,Main,2012
Matabeleland South,Mangwe,,2011-04-30,Main,2011
Matabeleland South,Gwanda Rural,0.01704514416,2015-04-30,Main,2015
Matabeleland South,Gwanda Rural,0.6275277137,2014-04-30,Main,2014
Matabeleland South,Gwanda Rural,,2013-04-30,Main,2013
Matabeleland South,Gwanda Rural,,2012-04-30,Main,2012
Matabeleland South,Gwanda Rural,,2011-04-30,Main,2011
Matabeleland South,Insiza,0.1936331723,2015-04-30,Main,2015
Matabeleland South,Insiza,0.5978085623,2014-04-30,Main,2014
Matabeleland South,Insiza,,2013-04-30,Main,2013
Matabeleland South,Insiza,,2012-04-30,Main,2012
Matabeleland South,Insiza,,2011-04-30,Main,2011
Matabeleland South,Matobo,0.0720080395,2015-04-30,Main,2015
Matabeleland South,Matobo,0.5765482597,2014-04-30,Main,2014
Matabeleland South,Matobo,,2013-04-30,Main,2013
Matabeleland South,Matobo,,2012-04-30,Main,2012
Matabeleland South,Matobo,,2011-04-30,Main,2011
Matabeleland South,Umzingwane,0.1701354152,2015-04-30,Main,2015
Matabeleland South,Umzingwane,0.9069856076,2014-04-30,Main,2014
Matabeleland South,Umzingwane,,2013-04-30,Main,2013
Matabeleland South,Umzingwane,,2012-04-30,Main,2012
Matabeleland South,Umzingwane,,2011-04-30,Main,2011
